,Target,Student Price,Worker Price,Guest Price,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September
2022-01-30,0.0,1.0633333333333335,1.002857142857143,0.38999999999999996,0.0035000000000000005,0.07,0.07,0.07547169811320754,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,142.0,1.0535211267605635,1.17,0.38999999999999996,0.0039436619718309866,0.07,0.07,0.09433962264150944,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,135.0,1.0833333333333333,1.4625,0.38999999999999996,0.0021212121212121214,0.07,0.07,0.09433962264150944,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02,163.0,1.0527607361963192,1.17,1.755,0.006012269938650307,0.07,0.07,0.09433962264150944,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,177.0,1.1134146341463416,1.17,0.38999999999999996,0.000853658536585366,0.07,0.07,0.09433962264150944,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,143.0,1.0182432432432433,1.17,0.23399999999999999,0.005675675675675676,0.07,0.07,0.09433962264150944,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,0.0,1.0182432432432433,1.17,0.23399999999999999,0.005675675675675676,0.07,0.07,0.09433962264150944,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,0.0,1.0182432432432433,1.17,0.23399999999999999,0.005675675675675676,0.07,0.07,0.09433962264150944,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,122.0,1.0720338983050848,1.17,0.23399999999999999,0.0023728813559322037,0.07,0.07,0.11320754716981132,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,142.0,1.133587786259542,1.17,1.17,0.001068702290076336,0.07,0.07,0.11320754716981132,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-09,151.0,1.107857142857143,1.17,1.17,0.001,0.07,0.07,0.11320754716981132,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,146.0,1.0687943262411348,1.053,1.17,0.0009929078014184398,0.07,0.07,0.11320754716981132,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,115.0,1.121782178217822,1.2999999999999998,1.17,0.0013861386138613863,0.07,0.07,0.11320754716981132,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,0.0,1.121782178217822,1.2999999999999998,1.17,0.0013861386138613863,0.07,0.07,0.11320754716981132,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,0.0,1.121782178217822,1.2999999999999998,1.17,0.0013861386138613863,0.07,0.07,0.11320754716981132,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-14,120.0,1.0260504201680674,1.17,2.34,0.0011764705882352942,0.07,0.07,0.1320754716981132,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15,120.0,1.1,0.9572727272727272,2.34,0.0,0.07,0.07,0.1320754716981132,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,136.0,1.0912,1.17,1.17,0.0022400000000000002,0.07,0.07,0.1320754716981132,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,97.0,1.1241758241758244,1.17,1.17,0.0,0.07,0.07,0.1320754716981132,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,118.0,1.1,1.17,1.17,0.0012727272727272728,0.07,0.07,0.1320754716981132,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,0.0,1.1,1.17,1.17,0.0012727272727272728,0.07,0.07,0.1320754716981132,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,0.0,1.1,1.17,1.17,0.0012727272727272728,0.07,0.07,0.1320754716981132,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,121.0,1.1096491228070178,1.17,1.17,0.0,0.07,0.07,0.1509433962264151,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-22,111.0,1.1104761904761906,1.17,1.17,0.0,0.07,0.07,0.1509433962264151,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
